Var1,Freq
Trigynaea,2
Triomma,1
Triplaris,7
Tripodanthus,1
Tristiropsis,1
Trixis,1
Trophis,3
Tsuga,3
Turraeanthus,1
Tussilago,1
Tynanthus,4
Uapaca,2
Umbellularia,1
Uncaria,4
Unonopsis,14
Uvaria,2
Vaccinium,12
Vachellia,6
Valeriana,1
Vepris,1
Vigna,7
Virola,21
Waltheria,29
Wedelia,1
Wendlandia,12
Xanthium,1
Xanthophyllum,3
Xerospermum,1
Xylopia,19
Zanthoxylum,18
Ziziphus,8
